ML08929a	g16372.t1	66.875	160	53	0	67	226	37	196	3.15e-76	228
ML08929a	g1224.t1	36.667	60	36	1	147	204	6	65	4.44e-04	39.7
ML08929a	g18428.t1	33.333	54	34	1	153	204	45	98	0.009	35.8
ML08929a	g25760.t1	26.984	63	44	1	144	204	190	252	0.009	36.6
ML08929a	g5855.t1	31.481	54	35	1	153	204	17	70	0.013	35.4
ML08929a	g23255.t1	32.727	55	35	1	153	205	83	137	0.026	35.0
ML08929a	g30671.t1	30.769	65	43	1	152	214	23	87	0.029	34.7
ML08929a	g5629.t1	31.250	80	51	2	148	223	74	153	0.040	34.3
ML08929a	g19747.t1	31.818	44	30	0	153	196	16	59	0.14	32.3
ML08929a	g19031.t1	30.909	55	36	1	152	204	107	161	0.14	32.3
ML08929a	g6468.t1	31.481	54	35	1	153	204	25	78	0.15	32.3
ML08929a	g22505.t1	29.630	54	36	1	153	204	83	136	0.81	30.0
ML08929a	g969.t1	27.273	55	38	1	153	205	18	72	1.0	30.4
ML08929a	g12998.t1	31.034	58	37	2	152	206	85	142	1.0	29.3
ML08929a	g13258.t1	33.784	74	42	3	68	141	263	329	1.7	29.3
ML08929a	g9383.t1	27.273	55	38	1	152	204	106	160	2.4	28.9
ML08929a	g222.t1	25.926	54	38	1	153	204	37	90	2.8	28.1
ML08929a	g8896.t1	29.630	54	36	1	152	203	46	99	2.9	28.1
ML08929a	g21790.t1	34.375	32	21	0	153	184	10	41	3.2	27.7
ML08929a	g27701.t1	26.866	67	49	0	103	169	158	224	4.0	28.1
ML08929a	g20940.t1	33.333	54	31	1	155	203	83	136	4.2	27.7
ML08929a	g14308.t1	28.049	82	52	2	58	139	53	127	4.7	27.7
ML08929a	g20377.t1	24.691	81	42	2	74	137	182	260	6.9	27.7
ML08929a	g12251.t1	35.484	31	20	0	153	183	39	69	7.3	26.9
ML08929a	g15350.t1	37.500	32	20	0	152	183	82	113	7.6	26.9
ML08929a	g8811.t2	26.316	57	40	1	150	204	24	80	8.4	26.9
ML08929a	g12633.t1	25.862	58	32	2	160	217	222	268	8.7	26.9
Mlei_PP9__ML215421a	g16372.t1	20.139	144	115	0	41	184	31	174	8.01e-06	44.7
Mlei_PP9__ML215421a	g21896.t1	30.263	76	50	2	133	206	24	98	7.33e-05	42.0
Mlei_PP9__ML215421a	g19031.t1	36.765	68	40	2	133	198	108	174	3.50e-04	40.0
Mlei_PP9__ML215421a	g2188.t1	37.500	56	33	1	133	186	11	66	0.001	38.1
Mlei_PP9__ML215421a	g18306.t1	24.103	195	119	7	37	206	11	201	0.001	38.9
Mlei_PP9__ML215421a	g25760.t1	37.931	58	34	1	133	188	270	327	0.006	36.6
Mlei_PP9__ML215421a	g25760.t1	29.412	68	45	2	128	193	194	260	0.046	33.9
Mlei_PP9__ML215421a	g25760.t1	24.219	128	69	5	31	154	228	331	4.1	28.1
Mlei_PP9__ML215421a	g15906.t1	23.718	156	92	5	37	188	264	396	0.008	36.6
Mlei_PP9__ML215421a	g222.t1	30.556	72	47	2	131	199	108	179	0.011	35.4
Mlei_PP9__ML215421a	g222.t1	31.579	57	37	2	133	187	37	93	0.077	32.7
Mlei_PP9__ML215421a	g18428.t1	32.857	70	44	3	133	199	45	114	0.028	34.3
Mlei_PP9__ML215421a	g3449.t1	28.169	71	46	2	131	199	110	177	0.030	34.3
Mlei_PP9__ML215421a	g12621.t1	28.205	78	52	1	119	196	96	169	0.084	32.7
Mlei_PP9__ML215421a	g14186.t1	30.189	53	35	1	133	183	21	73	0.090	31.2
Mlei_PP9__ML215421a	g6468.t1	28.814	59	40	2	133	189	25	83	0.11	32.3
Mlei_PP9__ML215421a	g22505.t1	28.070	57	39	1	133	187	83	139	0.12	32.7
Mlei_PP9__ML215421a	g17371.t1	26.829	123	69	7	37	148	250	362	0.14	32.7
Mlei_PP9__ML215421a	g8812.t1	27.957	93	57	5	117	203	102	190	0.15	32.3
Mlei_PP9__ML215421a	g5855.t1	28.571	63	43	2	133	193	17	79	0.27	31.2
Mlei_PP9__ML215421a	g8811.t2	23.377	77	55	2	131	203	25	101	0.28	31.2
Mlei_PP9__ML215421a	g8811.t2	32.258	62	36	3	131	188	99	158	2.4	28.1
Mlei_PP9__ML215421a	g25457.t1	25.301	83	57	4	128	207	73	153	0.32	31.6
Mlei_PP9__ML215421a	g9991.t2	21.905	105	69	3	95	187	25	128	0.32	30.8
Mlei_PP9__ML215421a	g8686.t1	35.088	57	33	2	64	119	79	132	0.34	31.2
Mlei_PP9__ML215421a	g14823.t1	45.833	24	13	0	133	156	35	58	0.35	29.6
Mlei_PP9__ML215421a	g15788.t1	27.419	62	43	1	131	190	30	91	0.38	30.8
Mlei_PP9__ML215421a	g8896.t1	33.871	62	35	2	135	194	120	177	0.41	30.8
Mlei_PP9__ML215421a	g23255.t1	29.091	55	37	2	137	189	87	141	0.53	30.8
Mlei_PP9__ML215421a	g30671.t1	32.353	68	36	1	126	183	147	214	0.54	30.4
Mlei_PP9__ML215421a	g17902.t1	34.783	46	25	1	17	62	10	50	0.58	30.0
Mlei_PP9__ML215421a	g17902.t1	24.038	104	65	2	103	206	11	100	7.5	26.6
Mlei_PP9__ML215421a	g5856.t1	27.273	66	46	1	124	187	52	117	0.64	29.6
Mlei_PP9__ML215421a	g30367.t1	35.417	48	29	1	133	178	30	77	0.65	30.0
Mlei_PP9__ML215421a	g9383.t1	34.545	55	34	1	133	185	178	232	0.76	30.0
